,Stock_Price,Oil_Price,NASDAQ_Index,Precipitation
count,1047.0,1047.0,1047.0,1047.0
mean,32.09219679062779,53.88817579493482,8626.523214578856,2.694368790224059
std,13.486445024847509,11.401104877008462,2215.280133956119,0.45800357567900124
min,9.039999961853027,18.84000015258789,5805.14990234375,1.59
25%,21.359999656677246,47.415000915527344,7117.280029296875,2.4235483870967744
50%,32.11000061035156,55.47999954223633,7878.4599609375,2.745806451612903
75%,43.88999938964844,62.05500030517578,9514.5947265625,3.0129677419354834
max,58.470001220703125,76.41000366210938,14138.7802734375,3.57
