Date,Stock_Price,Oil_Price,NASDAQ_Index,Precipitation,New_cases
2017-04-03,42.45000076293945,50.2400016784668,5894.68017578125,3.490666666666667,False
2017-04-04,40.900001525878906,51.029998779296875,5898.60986328125,3.4859999999999998,False
2017-04-05,41.310001373291016,51.150001525878906,5864.47998046875,3.481333333333333,False
2017-04-06,41.720001220703125,51.70000076293945,5878.9501953125,3.4766666666666666,False
2017-04-07,41.810001373291016,52.2400016784668,5877.81005859375,3.472,False
2017-04-10,42.31999969482422,53.08000183105469,5880.93017578125,3.458,False
2017-04-11,43.93000030517578,53.400001525878906,5866.77001953125,3.453333333333333,False
2017-04-12,43.959999084472656,53.11000061035156,5836.16015625,3.4486666666666665,False
2017-04-13,43.349998474121094,53.18000030517578,5805.14990234375,3.444,False
2017-04-17,44.22999954223633,52.650001525878906,5856.7900390625,3.425333333333333,False
2017-04-18,43.810001373291016,52.40999984741211,5849.47021484375,3.4206666666666665,False
2017-04-19,44.400001525878906,50.439998626708984,5863.02978515625,3.416,False
2017-04-20,45.220001220703125,50.27000045776367,5916.77978515625,3.4113333333333333,False
2017-04-21,45.150001525878906,49.619998931884766,5910.52001953125,3.4066666666666667,False
2017-04-24,46.439998626708984,49.22999954223633,5983.81982421875,3.3926666666666665,False
2017-04-25,46.61000061035156,49.560001373291016,6025.490234375,3.388,False
2017-04-26,46.400001525878906,49.619998931884766,6025.22998046875,3.3833333333333333,False
2017-04-27,43.97999954223633,48.970001220703125,6048.93994140625,3.3786666666666667,False
2017-04-28,42.619998931884766,49.33000183105469,6047.60986328125,3.3739999999999997,False
2017-05-01,42.08000183105469,48.84000015258789,6091.60009765625,3.36,False
2017-05-02,43.869998931884766,47.65999984741211,6095.3701171875,3.3506451612903225,False
2017-05-03,43.91999816894531,47.81999969482422,6072.5498046875,3.341290322580645,False
2017-05-04,43.90999984741211,45.52000045776367,6075.33984375,3.331935483870968,False
2017-05-05,44.5099983215332,46.220001220703125,6100.759765625,3.32258064516129,False
2017-05-08,44.939998626708984,46.43000030517578,6102.66015625,3.294516129032258,False
2017-05-09,47.08000183105469,45.880001068115234,6120.58984375,3.2851612903225806,False
2017-05-10,47.29999923706055,47.33000183105469,6129.14013671875,3.2758064516129033,False
2017-05-11,46.540000915527344,47.83000183105469,6115.9599609375,3.2664516129032255,False
2017-05-12,45.83000183105469,47.84000015258789,6121.22998046875,3.257096774193548,False
2017-05-15,46.68000030517578,48.849998474121094,6149.669921875,3.229032258064516,False
2017-05-16,46.939998626708984,48.65999984741211,6169.8701171875,3.2196774193548388,False
2017-05-17,44.91999816894531,49.06999969482422,6011.240234375,3.210322580645161,False
2017-05-18,44.650001525878906,49.349998474121094,6055.1298828125,3.2009677419354836,False
2017-05-19,45.220001220703125,50.33000183105469,6083.7001953125,3.1916129032258063,False
2017-05-22,46.209999084472656,50.72999954223633,6133.6201171875,3.163548387096774,False
2017-05-23,46.65999984741211,51.470001220703125,6138.7099609375,3.1541935483870964,False
2017-05-24,46.77000045776367,51.36000061035156,6163.02001953125,3.144838709677419,False
2017-05-25,48.02000045776367,48.900001525878906,6205.259765625,3.1354838709677417,False
2017-05-26,48.7400016784668,49.79999923706055,6210.18994140625,3.1261290322580644,False
2017-05-30,47.959999084472656,49.65999984741211,6203.18994140625,3.0887096774193545,False
2017-05-31,48.40999984741211,48.31999969482422,6198.52001953125,3.079354838709677,False
2017-06-01,49.04999923706055,48.36000061035156,6246.830078125,3.07,False
2017-06-02,49.52000045776367,47.65999984741211,6305.7998046875,3.061,False
2017-06-05,49.7400016784668,47.400001525878906,6295.68017578125,3.034,False
2017-06-06,49.7400016784668,48.189998626708984,6275.06005859375,3.025,False
2017-06-07,50.86000061035156,45.720001220703125,6297.3798828125,3.016,False
2017-06-08,51.43000030517578,45.63999938964844,6321.759765625,3.0069999999999997,False
2017-06-09,50.27000045776367,45.83000183105469,6207.919921875,2.9979999999999998,False
2017-06-12,49.47999954223633,46.08000183105469,6175.4599609375,2.9709999999999996,False
2017-06-13,49.45000076293945,46.459999084472656,6220.3701171875,2.9619999999999997,False
2017-06-14,49.38999938964844,44.72999954223633,6194.89013671875,2.953,False
2017-06-15,49.11000061035156,44.459999084472656,6165.5,2.944,False
2017-06-16,48.790000915527344,44.7400016784668,6151.759765625,2.9349999999999996,False
2017-06-19,49.65999984741211,44.20000076293945,6239.009765625,2.908,False
2017-06-20,48.029998779296875,43.22999954223633,6188.02978515625,2.899,False
2017-06-21,48.43000030517578,42.529998779296875,6233.9501953125,2.8899999999999997,False
2017-06-22,48.970001220703125,42.7400016784668,6236.68994140625,2.881,False
2017-06-23,48.630001068115234,43.0099983215332,6265.25,2.872,False
2017-06-26,48.779998779296875,43.380001068115234,6247.14990234375,2.8449999999999998,False
2017-06-27,48.5,44.2400016784668,6146.6201171875,2.836,False
2017-06-28,49.25,44.7400016784668,6234.41015625,2.827,False
2017-06-29,49.619998931884766,44.93000030517578,6144.35009765625,2.8179999999999996,False
2017-06-30,50.31999969482422,46.040000915527344,6140.419921875,2.8089999999999997,False
2017-07-03,50.38999938964844,47.06999969482422,6110.06005859375,2.84,False
2017-07-05,51.2599983215332,45.130001068115234,6150.85986328125,2.88,False
2017-07-06,52.04999923706055,45.52000045776367,6089.4599609375,2.9,False
2017-07-07,53.029998779296875,44.22999954223633,6153.080078125,2.92,False
2017-07-10,52.65999984741211,44.400001525878906,6176.39013671875,2.98,False
2017-07-11,51.61000061035156,45.040000915527344,6193.2998046875,3.0,False
